CUST_ACCT_ID,  TARGET_NET_SALES  ,  TARGET_GROSS_PROFIT  ,YR_MTH
957465,1644,68,4/1/2024
70610,3919,403,4/1/2024
274850,1186,107,4/1/2024
265161,177,7,4/1/2024
74958,8221,385,4/1/2024
146961,3178,236,4/1/2024
531776,3852,296,4/1/2024
582492,10658,428,4/1/2024
445406,230,17,4/1/2024
686027,1142,243,4/1/2024
260096,916,16,4/1/2024
550646,23909,940,4/1/2024
349330,2687,443,4/1/2024
329564,3565,134,4/1/2024
499495,829,61,4/1/2024
570605,24422,1130,4/1/2024
303174,5231,189,4/1/2024
140344,1522,320,4/1/2024
950231,7749,274,4/1/2024
988652,337,54,4/1/2024
333118,3045,550,4/1/2024
716162,20889,936,4/1/2024
415522,1160,40,4/1/2024
20812,78638,3039,4/1/2024
150118,1071699,41752,4/1/2024
684541,20047,767,4/1/2024
763170,36622,1462,4/1/2024
760037,-10287,0,4/1/2024
746310,16536,664,4/1/2024
557849,27,1,4/1/2024
760452,71064,2079,4/1/2024
764051,212187,29609,4/1/2024
902470,1193,207,4/1/2024
760456,1545085,45886,4/1/2024
120989,1368597,35518,4/1/2024
11508,0,73,4/1/2024
936089,4846,106,4/1/2024
567872,149644,3402,4/1/2024
567872,149644,3402,4/1/2024
186209,2716,-236,4/1/2024
760360,5329,95,4/1/2024
222843,1678,68,4/1/2024
680780,1142,207,4/1/2024
761276,24725,751,4/1/2024
764395,367680,81385,4/1/2024
759427,2667,77,4/1/2024
940095,13289,219,4/1/2024
241747,73370,2631,4/1/2024
222597,1674,34,4/1/2024
11224,405601,46412,4/1/2024
982610,8507,350,4/1/2024
771517,560729,10394,4/1/2024
759275,946,67,4/1/2024
761541,105562,8136,4/1/2024
838159,1142,207,4/1/2024
955447,14604,3075,4/1/2024
761208,16701,648,4/1/2024
959045,53299,1884,4/1/2024
712351,5675,198,4/1/2024
151270,1142,204,4/1/2024
731726,93838,2128,4/1/2024
744661,2157,288,4/1/2024
741245,2157,285,4/1/2024
918834,1186,107,4/1/2024
11399,948,224,4/1/2024
816083,1142,204,4/1/2024
785047,1142,224,4/1/2024
8042,0,0,4/1/2024
159185,984,119,4/1/2024
536835,984,119,4/1/2024
744269,1142,207,4/1/2024
45691,-867,6,4/1/2024
878347,374984,17842,4/1/2024
300621,11351,399,4/1/2024
342011,2579,333,4/1/2024
893711,799,17,4/1/2024
443902,2288,320,4/1/2024
940607,18808,480,4/1/2024
442223,2251,293,4/1/2024
154682,984,119,4/1/2024
758432,1535968,45582,4/1/2024
881859,4718,513,4/1/2024
461034,1142,207,4/1/2024
140028,123792,6476,4/1/2024
101308,133629,10115,4/1/2024
628193,4008,184,4/1/2024
243511,0,4,4/1/2024
998440,178875,8473,4/1/2024
830558,3061,191,4/1/2024
101649,13702,2659,4/1/2024
444797,6466,860,4/1/2024
799330,2328,333,4/1/2024
166944,1142,272,4/1/2024
555290,6395,551,4/1/2024
790714,7192,269,4/1/2024
81628,87760,3740,4/1/2024
151342,837,17,4/1/2024
315180,9705,48,4/1/2024
467099,977,202,4/1/2024
467099,977,202,4/1/2024
373944,1238,512,4/1/2024
570291,3521,571,4/1/2024
761317,102321,4161,4/1/2024
814306,18038,715,4/1/2024
759709,275880,6731,4/1/2024
51928,29119,1246,4/1/2024
960875,2146,229,4/1/2024
764466,1070667,25574,4/1/2024
567450,0,23,4/1/2024
738996,3231,37,4/1/2024
106195,1025,107,4/1/2024
184862,984,119,4/1/2024
105015,432,31,4/1/2024
551732,984,119,4/1/2024
109538,6719,576,4/1/2024
107995,4594,556,4/1/2024
531246,207,15,4/1/2024
109314,6900,658,4/1/2024
150789,2297,278,4/1/2024
154070,1969,238,4/1/2024
719104,15246,665,4/1/2024
607063,984,119,4/1/2024
194842,2486,360,4/1/2024
978256,4314,590,4/1/2024
461418,7189,1071,4/1/2024
375915,5032,663,4/1/2024
231798,1973,375,4/1/2024
89837,2463,7,4/1/2024
355003,1174,201,4/1/2024
443833,2088,216,4/1/2024
390583,50493,1139,4/1/2024
839768,7362,972,4/1/2024
176048,1969,240,4/1/2024
756377,1691,322,4/1/2024
324444,1691,321,4/1/2024
390468,33883,1746,4/1/2024
74413,4788,774,4/1/2024
757690,3235,413,4/1/2024
149239,5019,706,4/1/2024
54014,846,160,4/1/2024
149078,10505,1413,4/1/2024
417160,1945,2,4/1/2024
642380,4691,667,4/1/2024
683326,1973,374,4/1/2024
755774,6470,826,4/1/2024
845336,846,160,4/1/2024
520239,846,161,4/1/2024
